Designator,Mid X,Mid Y,Layer,Rotation
C0,8.89,17.65,TOP,180
D1,10.67,19.3,TOP,270
R0,8,24.38,TOP,0
R47,11.68,8.89,TOP,180
R48,11.68,11.3,TOP,180
R56,11.94,19.43,TOP,270
U0,6.6,20.7,TOP,90
